id,cell_type,pt_position,pt_root_id,soma_x_nm,soma_y_nm,soma_z_nm
17,e,[103860  44385    891],648518346349540057,415440,415440,4154400
453,e,[84054 50604  1424],648518346349538466,336216,336216,3362160
35,e,[103728  54333    304],648518346349538711,414912,414912,4149120
74,e,[51543 57568   155],648518346349538715,206172,206172,2061720
231,e,[77197 61773   428],648518346349537038,308788,308788,3087880
335,e,[93008 40981  1984],648518346349539103,372032,372032,3720320
239,e,[93551 45577  2058],648518346349539080,374204,374204,3742040
11,e,[65539 51308   977],648518346349539068,262156,262156,2621560
16,e,[100898  43550    891],648518346349536988,403592,403592,4035920
256,e,[58354 72889   369],648518346349536753,233416,233416,2334160
111,e,[77857 63138  1702],648518346349539095,311428,311428,3114280
191,e,[63044 64447   519],648518346349539067,252176,252176,2521760
45,e,[101740  53066    718],648518346349539539,406960,406960,4069600
73,e,[61981 61296   146],648518346349539435,247924,247924,2479240
3,e,[71110 40161  1454],648518346349537081,284440,284440,2844400
123,e,[105199  45412     38],648518346349537145,420796,420796,4207960
4,e,[77264 44133  1231],648518346349531254,309056,309056,3090560
190,e,[63331 67511   255],648518346349539554,253324,253324,2533240
195,e,[54333 63172  2087],648518346349539336,217332,217332,2173320
75,e,[66431 50386   217],648518346349533267,265724,265724,2657240
37,e,[111223  61856   1187],648518346349540051,444892,444892,4448920
7,e,[111812  58145   1498],648518346349537297,447248,447248,4472480
114,e,[68575 50858  1424],648518346349539517,274300,274300,2743000
58,e,[83898 39867  1537],648518346349539333,335592,335592,3355920
439,e,[81245 63448   184],648518346349539368,324980,324980,3249800
148,e,[65140 53444  1846],648518346349539524,260560,260560,2605600
43,e,[94619 48203  1290],648518346349519354,378476,378476,3784760
92,e,[108640  53793   1569],648518346349539804,434560,434560,4345600
172,e,[71531 66259  1276],648518346349539591,286124,286124,2861240
285,e,[48536 46212  2016],648518346349537071,194144,194144,1941440
185,e,[87940 72388  2110],648518346349539569,351760,351760,3517600
60,e,[85972 50578   390],648518346349539575,343888,343888,3438880
14,e,[84503 61821  1239],648518346349539366,338012,338012,3380120
269,e,[96483 70015   156],648518346349537047,385932,385932,3859320
276,e,[97439 64220  2144],648518346349536924,389756,389756,3897560
42,e,[91807 58804   292],648518346349539961,367228,367228,3672280
218,e,[115559  70074   1849],648518346349539510,462236,462236,4622360
71,e,[66182 57698   507],648518346349537547,264728,264728,2647280
12,e,[59368 51231  1053],648518346349537860,237472,237472,2374720
207,e,[57646 38437  2146],648518346349531994,230584,230584,2305840
24,e,[77437 43679   279],648518346349538056,309748,309748,3097480
70,e,[71214 58585   671],648518346349537657,284856,284856,2848560
182,e,[65140 41216  2071],648518346349537984,260560,260560,2605600
189,e,[74256 67937  2045],648518346349537853,297024,297024,2970240
217,e,[101971  69729   1903],648518346349538231,407884,407884,4078840
134,e,[115638  44712   1238],648518346349537007,462552,462552,4625520
147,e,[75247 52245  1825],648518346349537300,300988,300988,3009880
82,e,[56923 42306  1341],648518346349537385,227692,227692,2276920
88,e,[79379 40919  1662],648518346349538718,317516,317516,3175160
253,e,[43444 66948  1954],648518346349538721,173776,173776,1737760
107,e,[98914 61249   425],648518346349537042,395656,395656,3956560
122,e,[52614 46351  1434],648518346349539110,210456,210456,2104560
102,e,[101431  65274    676],648518346349539601,405724,405724,4057240
100,e,[98729 55031   902],648518346349539599,394916,394916,3949160
84,e,[112803  56506   1745],648518346349538005,451212,451212,4512120
91,e,[98689 42498  1546],648518346349537687,394756,394756,3947560
83,e,[54923 46631  1248],648518346349539727,219692,219692,2196920
194,e,[55150 62294  1221],648518346349539836,220600,220600,2206000
106,e,[113619  45201   1702],648518346349538070,454476,454476,4544760
139,e,[83621 72675  1222],648518346349538251,334484,334484,3344840
81,e,[71261 48556  1224],648518346349537913,285044,285044,2850440
142,e,[73438 64866   673],648518346349538033,293752,293752,2937520
198,e,[68245 53158  2111],648518346349537434,272980,272980,2729800
163,e,[85476 51389  1669],648518346349537993,341904,341904,3419040
184,e,[82226 71048  2103],648518346349538259,328904,328904,3289040
186,e,[88123 68746  1976],648518346349537790,352492,352492,3524920
137,e,[95651 53072  1754],648518346349539579,382604,382604,3826040
197,e,[63502 55668  1980],648518346349538239,254008,254008,2540080
113,e,[79647 58292   869],648518346349539593,318588,318588,3185880
110,e,[85459 65630  1872],648518346349531414,341836,341836,3418360
22,e,[97512 47153   721],648518346349539653,390048,390048,3900480
80,e,[79234 49579   769],648518346349538235,316936,316936,3169360
254,e,[52100 67500  1209],648518346349537996,208400,208400,2084000
108,e,[107756  63929   1448],648518346349535847,431024,431024,4310240
136,e,[55887 59103   879],648518346349531526,223548,223548,2235480
109,e,[91334 63425  1739],648518346349537718,365336,365336,3653360
135,e,[113222  62831   1621],648518346349531530,452888,452888,4528880
32,e,[101167  56452    685],648518346349537818,404668,404668,4046680
62,e,[62765 58361  1155],648518346349538365,251060,251060,2510600
193,e,[59821 61637   786],648518346349539598,239284,239284,2392840
133,e,[89544 62477  1420],648518346349539856,358176,358176,3581760
138,e,[99702 46391  1798],648518346349539768,398808,398808,3988080
10,e,[60788 47469   956],648518346349539462,243152,243152,2431520
440,e,[73844 58717  1468],648518346349539572,295376,295376,2953760
49,e,[101597  55229   1412],648518346349539464,406388,406388,4063880
158,e,[94660 66013  1350],648518346349539934,378640,378640,3786400
196,e,[62316 63307  2085],648518346349539390,249264,249264,2492640
455,e,[75110 50367   120],648518346349539803,300440,300440,3004400
98,e,[61868 44290   268],648518346349539594,247472,247472,2474720
221,e,[115615  61790   1972],648518346349532066,462460,462460,4624600
222,e,[118259  64325   2050],648518346349532050,473036,473036,4730360
177,e,[86149 62948   246],648518346349538426,344596,344596,3445960
201,e,[62171 36427  2020],648518346349531192,248684,248684,2486840
160,e,[86798 63278  1940],648518346349539096,347192,347192,3471920
164,e,[89485 44482  1918],648518346349536921,357940,357940,3579400
151,e,[61954 69004  1736],648518346349536929,247816,247816,2478160
156,e,[116377  60923   1471],648518346349503588,465508,465508,4655080
168,e,[76633 49822  2156],648518346349539780,306532,306532,3065320
155,e,[59239 62452  1404],648518346349539755,236956,236956,2369560
213,e,[100744  49336   2146],648518346349537255,402976,402976,4029760
162,e,[82642 70680  1490],648518346349539785,330568,330568,3305680
171,e,[64546 63189  1276],648518346349537242,258184,258184,2581840
167,e,[81058 46020  2016],648518346349539781,324232,324232,3242320
170,e,[56737 45633   955],648518346349537835,226948,226948,2269480
199,e,[70233 48983  1999],648518346349538102,280932,280932,2809320
206,e,[62653 38644  2135],648518346349538317,250612,250612,2506120
188,e,[99099 71071  2152],648518346349537492,396396,396396,3963960
181,e,[63136 44523  2071],648518346349538286,252544,252544,2525440
161,e,[73186 67258  1575],648518346349537513,292744,292744,2927440
174,e,[77051 66052  1202],648518346349538332,308204,308204,3082040
165,e,[89796 41797  1984],648518346349531327,359184,359184,3591840
211,e,[94372 52625  2028],648518346349537991,377488,377488,3774880
166,e,[93051 37990  1934],648518346349531362,372204,372204,3722040
154,e,[60693 65051  1528],648518346349531668,242772,242772,2427720
187,e,[97543 76105  2099],648518346349505739,390172,390172,3901720
159,e,[96021 65020  1776],648518346349531729,384084,384084,3840840
169,e,[87358 46400  2156],648518346349531774,349432,349432,3494320
173,e,[73784 68371  1241],648518346349531834,295136,295136,2951360
178,e,[82871 60834   184],648518346349531851,331484,331484,3314840
216,e,[67737 39522  2156],648518346349492197,270948,270948,2709480
220,e,[108194  73599   2002],648518346349507351,432776,432776,4327760
284,e,[49202 53214  1059],648518346349538462,196808,196808,1968080
290,e,[45998 53455  1689],648518346349530883,183992,183992,1839920
230,e,[51552 42974  1851],648518346349536748,206208,206208,2062080
26,e,[88949 46702    24],648518346349538421,355796,355796,3557960
56,e,[81567 52542  1219],648518346349538440,326268,326268,3262680
234,e,[82704 75115   509],648518346349539513,330816,330816,3308160
271,e,[77587 74922   813],648518346349539586,310348,310348,3103480
286,e,[52771 46251   746],648518346349531230,211084,211084,2110840
103,e,[76712 47989   306],648518346349539437,306848,306848,3068480
295,e,[111995  44617   2120],648518346349531263,447980,447980,4479800
28,e,[103609  50188    284],648518346349539809,414436,414436,4144360
236,e,[104870  72471   1446],648518346349536851,419480,419480,4194800
272,e,[112885  74140   1448],648518346349537243,451540,451540,4515400
267,e,[67060 60860  1444],648518346349539448,268240,268240,2682400
228,e,[58722 52758  1995],648518346349539794,234888,234888,2348880
243,e,[88547 74290   260],648518346349521083,354188,354188,3541880
249,e,[64316 73978   683],648518346349536811,257264,257264,2572640
264,e,[65849 64629   833],648518346349539820,263396,263396,2633960
240,e,[96974 73166  1349],648518346349537380,387896,387896,3878960
44,e,[97191 60089  1005],648518346349539819,388764,388764,3887640
223,e,[114278  68677   2007],648518346349532067,457112,457112,4571120
226,e,[93436 59909  2141],648518346349539506,373744,373744,3737440
104,e,[87283 40873   287],648518346349540048,349132,349132,3491320
261,e,[53465 54693  1897],648518346349532086,213860,213860,2138600
278,e,[76923 41123    66],648518346349537798,307692,307692,3076920
225,e,[105062  64734   2119],648518346349537808,420248,420248,4202480
203,e,[70878 65316  1858],648518346349537692,283512,283512,2835120
46,e,[81449 56468  1142],648518346349538278,325796,325796,3257960
270,e,[102093  73925    903],648518346349537615,408372,408372,4083720
48,e,[97535 44773   469],648518346349537978,390140,390140,3901400
119,e,[66751 56789   120],648518346349537487,267004,267004,2670040
268,e,[80400 59847  2141],648518346349538270,321600,321600,3216000
224,e,[110176  60874   2117],648518346349538296,440704,440704,4407040
279,e,[80037 42448    25],648518346349494004,320148,320148,3201480
252,e,[44147 72783  1430],648518346349533252,176588,176588,1765880
263,e,[100601  70453    289],648518346349538391,402404,402404,4024040
93,e,[106453  57747   1087],648518346349536680,425812,425812,4258120
121,e,[59931 51693   488],648518346349533482,239724,239724,2397240
294,e,[115343  53156    691],648518346349492682,461372,461372,4613720
50,e,[81140 53635  1671],648518346349538112,324560,324560,3245600
117,e,[109219  41191   1478],648518346349533719,436876,436876,4368760
365,g,[61834 40655  1322],648518346349527319,247336,247336,2473360
302,e,[113855  65451    788],648518346349496405,455420,455420,4554200
325,i,[90863 60897   219],648518346349536849,363452,363452,3634520
306,e,[81337 50126  2147],648518346349538414,325348,325348,3253480
67,e,[103967  50727    891],648518346349538410,415868,415868,4158680
320,e,[110619  56289     68],648518346349532006,442476,442476,4424760
310,e,[72871 36371  2024],648518346349492130,291484,291484,2914840
312,e,[100453  41108   2127],648518346349493487,401812,401812,4018120
313,e,[106368  39089   1996],648518346349494577,425472,425472,4254720
314,e,[107966  39144   2143],648518346349493472,431864,431864,4318640
315,e,[100322  38374   2074],648518346349493874,401288,401288,4012880
316,e,[117134  50560    944],648518346349520120,468536,468536,4685360
318,e,[78507 39985  1932],648518346349491311,314028,314028,3140280
330,i,[56161 69421  2087],648518346349538791,224644,224644,2246440
321,e,[92417 47005  2156],648518346349517132,369668,369668,3696680
322,i,[98339 73374  1037],648518346349487432,393356,393356,3933560
355,e,[48937 66938  2061],648518346349538733,195748,195748,1957480
324,i,[78880 47895    36],648518346349493894,315520,315520,3155200
340,e,[59627 61070  1836],648518346349539076,238508,238508,2385080
342,e,[115513  71448   1376],648518346349532180,462052,462052,4620520
328,i,[58951 44432  1929],648518346349491816,235804,235804,2358040
329,i,[73548 60068   986],648518346349487752,294192,294192,2941920
40,e,[91850 62808   523],648518346349536966,367400,367400,3674000
332,i,[60148 58689  1298],648518346349539846,240592,240592,2405920
361,e,[49131 56170  1977],648518346349539433,196524,196524,1965240
128,e,[67466 46777   159],648518346349536679,269864,269864,2698640
132,e,[108021  60298     90],648518346349539844,432084,432084,4320840
334,e,[105082  66822    621],648518346349539851,420328,420328,4203280
358,i,[108304  67620    673],648518346349537389,433216,433216,4332160
317,e,[91436 47068  1796],648518346349539828,365744,365744,3657440
311,e,[79162 39511  2133],648518346349537828,316648,316648,3166480
343,i,[113025  61770   2073],648518346349518096,452100,452100,4521000
344,i,[64659 40882   166],648518346349516055,258636,258636,2586360
345,i,[61716 41167  2006],648518346349516051,246864,246864,2468640
346,i,[70079 48099   356],648518346349515985,280316,280316,2803160
347,i,[81031 46686   691],648518346349515986,324124,324124,3241240
105,e,[96241 47039   276],648518346349532739,384964,384964,3849640
52,e,[109572  49198    386],648518346349532791,438288,438288,4382880
336,e,[93149 68319   371],648518346349539334,372596,372596,3725960
352,i,[91223 70834  1748],648518346349477331,364892,364892,3648920
353,i,[105525  63785    633],648518346349488919,422100,422100,4221000
36,e,[111176  60601    680],648518346349532796,444704,444704,4447040
339,e,[116817  47284   1276],648518346349539832,467268,467268,4672680
129,e,[71194 48958   860],648518346349533058,284776,284776,2847760
131,e,[65002 50043  1423],648518346349539840,260008,260008,2600080
359,i,[104808  58521    851],648518346349489861,419232,419232,4192320
66,e,[83993 48548   128],648518346349533227,335972,335972,3359720
363,i,[104890  74847    249],648518346349489985,419560,419560,4195600
364,g,[91882 59312  1521],648518346347160236,367528,367528,3675280
120,e,[54892 50355   384],648518346349539806,219568,219568,2195680
367,g,[83237 39955  1989],648518346349479501,332948,332948,3329480
368,g,[83908 46558  1626],648518346346520378,335632,335632,3356320
369,g,[63741 44570  1069],648518346349517141,254964,254964,2549640
370,g,[80684 63640  1298],648518346346593371,322736,322736,3227360
101,e,[96928 65614   664],648518346349539852,387712,387712,3877120
372,g,[110267  45636    891],648518346348963285,441068,441068,4410680
90,e,[86447 45337  1037],648518346349537716,345788,345788,3457880
374,g,[101058  49862     53],648518346349386860,404232,404232,4042320
375,g,[110817  60682    237],648518346342795947,443268,443268,4432680
331,e,[50527 57082  1021],648518346349539834,202108,202108,2021080
126,e,[103650  47620   1546],648518346349539845,414600,414600,4146000
305,e,[45547 62101  1401],648518346349537946,182188,182188,1821880
130,e,[70608 43734   677],648518346349538157,282432,282432,2824320
376,g,[88171 60763   298],648518346347345071,352684,352684,3526840
377,g,[72749 57051   610],648518346346999928,290996,290996,2909960
378,g,[58087 60834   159],648518346341382424,232348,232348,2323480
411,g,[69091 74601  1902],648518346349527316,276364,276364,2763640
380,g,[117542  56043   1796],648518346348031845,470168,470168,4701680
381,g,[100243  51255   1735],648518346348394168,400972,400972,4009720
382,g,[91581 59235  1702],648518346347452280,366324,366324,3663240
383,g,[76747 41297  1662],648518346342801515,306988,306988,3069880
384,g,[96007 41882  1037],648518346346286127,384028,384028,3840280
54,e,[89241 54545  1325],648518346349538478,356964,356964,3569640
392,g,[51194 62310   354],648518346349528249,204776,204776,2047760
387,g,[73568 57343   415],648518346349508122,294272,294272,2942720
423,g,[56945 55996   815],648518346349528250,227780,227780,2277800
389,g,[113207  65789     54],648518346349517756,452828,452828,4528280
438,e,[82817 73053   902],648518346349538746,331268,331268,3312680
391,g,[50598 67772   997],648518346349521344,202392,202392,2023920
443,e,[84838 46321   304],648518346349539097,339352,339352,3393520
394,g,[79886 42217   282],648518346347613560,319544,319544,3195440
393,g,[53383 62029   354],648518346349536487,213532,213532,2135320
429,e,[91263 72622  1096],648518346349539590,365052,365052,3650520
397,g,[95488 48435   355],648518346346586898,381952,381952,3819520
398,g,[114895  52341    499],648518346349508009,459580,459580,4595800
399,g,[105861  50355    415],648518346349377822,423444,423444,4234440
400,g,[112568  40158   1785],648518346349050779,450272,450272,4502720
401,g,[89429 53223  2028],648518346346301363,357716,357716,3577160
402,g,[87040 59386    98],648518346349498574,348160,348160,3481600
410,g,[114059  59673   1975],648518346349529813,456236,456236,4562360
385,g,[116198  61856   2148],648518346349529797,464792,464792,4647920
406,g,[104541  69251   1038],648518346344147845,418164,418164,4181640
407,g,[106805  66273   1038],648518346342926256,427220,427220,4272200
408,g,[114702  49688   2068],648518346348198632,458808,458808,4588080
409,g,[117454  48945   2109],648518346348210862,469816,469816,4698160
450,e,[72175 48400    61],648518346349536809,288700,288700,2887000
447,e,[67918 42884   187],648518346349537167,271672,271672,2716720
396,g,[61133 39988   855],648518346349530724,244532,244532,2445320
431,e,[65145 46881   535],648518346349537160,260580,260580,2605800
390,g,[49087 72406  1480],648518346349530654,196348,196348,1963480
415,g,[93919 58745  1020],648518346349514298,375676,375676,3756760
19,e,[105625  48770   1275],648518346349539486,422500,422500,4225000
417,i,[85724 71069   642],648518346349517783,342896,342896,3428960
99,e,[87733 46096  1357],648518346349539825,350932,350932,3509320
437,e,[93775 64648    22],648518346349539862,375100,375100,3751000
31,e,[96996 51391   819],648518346349539853,387984,387984,3879840
78,e,[73015 46686   528],648518346349539560,292060,292060,2920600
416,i,[115565  43046   1867],648518346349538370,462260,462260,4622600
424,g,[94337 41289  2133],648518346341394877,377348,377348,3773480
425,g,[78057 61045  2103],648518346349508279,312228,312228,3122280
413,g,[59596 69165  2132],648518346349530569,238384,238384,2383840
445,e,[87235 41195  1513],648518346349532295,348940,348940,3489400
434,e,[96249 76420  1525],648518346349537901,384996,384996,3849960
442,e,[104383  46534    600],648518346349533350,417532,417532,4175320
436,g,[71299 57088   157],648518346349510740,285196,285196,2851960
87,e,[70352 43027  1662],648518346349538291,281408,281408,2814080
53,e,[88839 46716   482],648518346349537514,355356,355356,3553560
433,e,[112041  71606    489],648518346349537515,448164,448164,4481640
448,e,[68995 47167  1536],648518346349537717,275980,275980,2759800
326,i,[67234 48361   420],648518346349538638,268936,268936,2689360
354,i,[93601 65423   533],648518346349538789,374404,374404,3744040
145,e,[61455 54109   350],648518346349539401,245820,245820,2458200
451,e,[92703 71134  1976],648518346349539376,370812,370812,3708120
140,e,[89838 67469   961],648518346349539863,359352,359352,3593520
404,g,[79514 69544   403],648518346349525545,318056,318056,3180560
403,g,[79431 67616   403],648518346349525544,317724,317724,3177240
412,g,[78612 74702  1749],648518346349525488,314448,314448,3144480
388,g,[63446 61953   647],648518346349525862,253784,253784,2537840
366,g,[76304 59035  2033],648518346349526102,305216,305216,3052160
386,g,[75134 54933  2078],648518346349525715,300536,300536,3005360
371,g,[78085 61768  1260],648518346349525715,312340,312340,3123400
426,uncertain,[111697  72042    224],648518346349527116,446788,446788,4467880
152,e,[67088 73250  2129],648518346349537075,268352,268352,2683520
309,e,[112682  77602   1407],648518346349527158,450728,450728,4507280
293,e,[110783  48465     38],648518346349537271,443132,443132,4431320
248,e,[68633 73836   309],648518346349523868,274532,274532,2745320
257,e,[58043 67572   354],648518346349523254,232172,232172,2321720
288,e,[52102 44781  1091],648518346349523667,208408,208408,2084080
297,e,[116983  40916    981],648518346349537844,467932,467932,4679320
357,i,[104564  44922   1823],648518346349522750,418256,418256,4182560
379,g,[95966 71814  2042],648518346349524211,383864,383864,3838640
146,e,[69807 37857  1486],648518346349537486,279228,279228,2792280
323,i,[70294 51507  1908],648518346349522735,281176,281176,2811760
41,e,[81913 55285   549],648518346349538053,327652,327652,3276520
232,e,[70476 52101    31],648518346349537827,281904,281904,2819040
360,i,[96133 70329  1966],648518346349537404,384532,384532,3845320
458,e,[71417 45668    79],648518346349538298,285668,285668,2856680
454,e,[55363 40753  1109],648518346349538015,221452,221452,2214520
291,e,[96050 50082    38],648518346349523975,384200,384200,3842000
280,e,[70894 42381    21],648518346349523993,283576,283576,2835760
282,e,[55842 44113    21],648518346349523981,223368,223368,2233680
327,i,[72206 51912   886],648518346349538285,288824,288824,2888240
457,e,[92601 45788   126],648518346349537840,370404,370404,3704040
356,i,[61320 66606  1946],648518346349538179,245280,245280,2452800
150,e,[61579 72084  1855],648518346349523306,246316,246316,2463160
395,g,[79049 41956  1478],648518346349524140,316196,316196,3161960
300,e,[111023  70656   1040],648518346349523266,444092,444092,4440920
432,i,[86968 55962  1195],648518346349528994,347872,347872,3478720
435,e,[95575 72297  1694],648518346349538416,382300,382300,3823000
275,e,[77519 72642   218],648518346349538431,310076,310076,3100760
266,e,[70095 72943   767],648518346349537102,280380,280380,2803800
301,e,[108355  76345    767],648518346349536997,433420,433420,4334200
235,e,[51436 70327   650],648518346349536769,205744,205744,2057440
418,g,[72779 55950   577],648518346349536717,291116,291116,2911160
255,e,[46343 69912  1090],648518346349538451,185372,185372,1853720
292,e,[109728  43293     38],648518346349538782,438912,438912,4389120
414,g,[82362 40049   126],648518346349524139,329448,329448,3294480
441,g,[81614 72772   198],648518346349525545,326456,326456,3264560
420,g,[72565 54543   492],648518346349536717,290260,290260,2902600
419,i,[106282  58728    552],648518346349522749,425128,425128,4251280
449,e,[52459 55350  1208],648518346349522230,209836,209836,2098360
421,g,[59560 53765  1435],648518346349524109,238240,238240,2382400
118,e,[113406  48466   1490],648518346349524063,453624,453624,4536240
57,e,[108212  44884    277],648518346349539079,432848,432848,4328480
242,e,[108709  69490    195],648518346349537649,434836,434836,4348360
446,e,[62697 41709  1768],648518346349537426,250788,250788,2507880
215,e,[117595  51484   1769],648518346349537482,470380,470380,4703800
127,e,[53418 50921  1662],648518346349524141,213672,213672,2136720
348,i,[97327 56061   304],648518346349539215,389308,389308,3893080
115,e,[76377 51644   796],648518346349537391,305508,305508,3055080
29,e,[101197  48653    500],648518346349538192,404788,404788,4047880
341,i,[115137  48249   1834],648518346349525190,460548,460548,4605480
337,i,[113492  51222   1903],648518346349525188,453968,453968,4539680
176,e,[81876 49348   304],648518346349539884,327504,327504,3275040
349,e,[105998  71204    669],648518346349523030,423992,423992,4239920
308,e,[110294  77706   1703],648518346349523129,441176,441176,4411760
124,e,[115294  52755   1198],648518346349539885,461176,461176,4611760
273,e,[87582 71826   394],648518346349539865,350328,350328,3503280
277,e,[79538 71961   544],648518346349539821,318152,318152,3181520
64,e,[89324 48310  1290],648518346349539864,357296,357296,3572960
307,e,[102649  77190   1975],648518346349525852,410596,410596,4105960
333,e,[49998 64172  1410],648518346349524933,199992,199992,1999920
65,e,[82400 44291  1680],648518346349524971,329600,329600,3296000
202,e,[58210 35590  2059],648518346349522862,232840,232840,2328400
362,i,[99769 54014  2156],648518346349522740,399076,399076,3990760
39,e,[85117 62083   585],648518346349540055,340468,340468,3404680
250,e,[56887 73949  1735],648518346349533867,227548,227548,2275480
456,e,[82249 55968   163],648518346349533811,328996,328996,3289960
319,e,[55166 68435   647],648518346349538475,220664,220664,2206640
23,e,[90668 43058   601],648518346349538787,362672,362672,3626720
85,e,[103910  52864   1735],648518346349534048,415640,415640,4156400
38,e,[102067  61376   1554],648518346349539100,408268,408268,4082680
79,e,[88158 50925   769],648518346349539789,352632,352632,3526320
246,e,[115627  63147    194],648518346349534057,462508,462508,4625080
112,e,[109357  54019    496],648518346349534072,437428,437428,4374280
143,e,[69276 64602   608],648518346349534079,277104,277104,2771040
97,e,[78410 44418   642],648518346349539886,313640,313640,3136400
265,e,[80729 70999   217],648518346349539795,322916,322916,3229160
283,e,[51691 50574   126],648518346349539797,206764,206764,2067640
96,e,[67437 43700   469],648518346349534289,269748,269748,2697480
18,e,[105882  51444   1198],648518346349539423,423528,423528,4235280
200,e,[72694 46249  1928],648518346349534292,290776,290776,2907760
210,e,[83079 42283  2055],648518346349534360,332316,332316,3323160
427,e,[115024  57441   2098],648518346349539430,460096,460096,4600960
244,e,[85578 68292    43],648518346349539347,342312,342312,3423120
25,e,[75233 45884    99],648518346349539890,300932,300932,3009320
1,e,[87695 58686  1399],648518346349539887,350780,350780,3507800
296,e,[118125  46210   1672],648518346349534614,472500,472500,4725000
15,e,[101015  47380   1116],648518346349540017,404060,404060,4040600
72,e,[62596 57806   146],648518346349534580,250384,250384,2503840
30,e,[112188  45651    656],648518346349534794,448752,448752,4487520
59,e,[95448 44212   893],648518346349534855,381792,381792,3817920
229,e,[50997 49628  1990],648518346349534945,203988,203988,2039880
452,e,[74835 72562   436],648518346349535007,299340,299340,2993400
141,e,[80092 66401   705],648518346349535074,320368,320368,3203680
175,e,[118321  54112   1975],648518346349535102,473284,473284,4732840
9,e,[73057 42025  1097],648518346349535192,292228,292228,2922280
258,e,[48904 62250   425],648518346349535264,195616,195616,1956160
251,e,[48000 73540  1531],648518346349535286,192000,192000,1920000
245,e,[104322  69112     93],648518346349535300,417288,417288,4172880
351,e,[50737 51357   967],648518346349535363,202948,202948,2029480
241,e,[49877 65613  1778],648518346349537489,199508,199508,1995080
89,e,[58608 53004  1662],648518346349538368,234432,234432,2344320
2,e,[60960 46118  1610],648518346349538387,243840,243840,2438400
238,e,[100313  67900   1536],648518346349538193,401252,401252,4012520
77,e,[68044 51693   638],648518346349538378,272176,272176,2721760
219,e,[110279  75696   1922],648518346349537609,441116,441116,4411160
287,e,[51116 47033   972],648518346349537981,204464,204464,2044640
5,e,[58075 47005  1530],648518346349537883,232300,232300,2323000
125,e,[109688  53657    127],648518346349537848,438752,438752,4387520
8,e,[83614 59202  1732],648518346349537814,334456,334456,3344560
208,e,[68940 45487  2156],648518346349538133,275760,275760,2757600
289,e,[42065 60352  1724],648518346349538237,168260,168260,1682600
27,e,[89079 50611    26],648518346349538188,356316,356316,3563160
51,e,[89603 40470  1569],648518346349538250,358412,358412,3584120
430,e,[71922 54922  1173],648518346349538527,287688,287688,2876880
260,e,[73758 64499   343],648518346349538730,295032,295032,2950320
428,e,[54407 71047   354],648518346349536534,217628,217628,2176280
373,g,[100487  42666    727],648518346349538793,401948,401948,4019480
303,e,[91819 65913  1226],648518346349539093,367276,367276,3672760
20,e,[108628  45213   1136],648518346349539071,434512,434512,4345120
192,e,[59112 64575   901],648518346349536205,236448,236448,2364480
34,e,[97433 59932   264],648518346349539070,389732,389732,3897320
350,e,[108636  72587   1290],648518346349539471,434544,434544,4345440
157,e,[100304  64011   1209],648518346349539359,401216,401216,4012160
33,e,[95293 58588   624],648518346349539892,381172,381172,3811720
299,e,[111526  63484    458],648518346349540053,446104,446104,4461040
47,e,[103519  58447   1232],648518346349539414,414076,414076,4140760
204,e,[68447 66030   795],648518346349539900,273788,273788,2737880
76,e,[63014 51600   297],648518346349536312,252056,252056,2520560
94,e,[77182 50248  1467],648518346349539895,308728,308728,3087280
68,e,[92854 56569  1165],648518346349539896,371416,371416,3714160
55,e,[59733 57168  1043],648518346349539906,238932,238932,2389320
227,e,[59561 50682  2134],648518346349539901,238244,238244,2382440
63,e,[111652  51378    952],648518346349539891,446608,446608,4466080
262,e,[110245  59258     92],648518346349536391,440980,440980,4409800
259,e,[46905 66414   362],648518346349536478,187620,187620,1876200
149,e,[67589 69944  1897],648518346349536159,270356,270356,2703560
179,e,[58069 62826   155],648518346349536366,232276,232276,2322760
233,e,[86548 74444   679],648518346349536354,346192,346192,3461920
304,e,[118467  68777   1430],648518346349535473,473868,473868,4738680
274,e,[54641 67831  1321],648518346349535435,218564,218564,2185640
86,e,[96015 57785  1754],648518346349535823,384060,384060,3840600
237,e,[103814  73662   1690],648518346349537003,415256,415256,4152560
61,e,[90432 53419   104],648518346349537153,361728,361728,3617280
21,e,[107071  61155   1570],648518346349537270,428284,428284,4282840
214,e,[107425  50869   1903],648518346349537331,429700,429700,4297000
281,e,[98028 39919   232],648518346349536816,392112,392112,3921120
144,e,[69426 67970   396],648518346349536788,277704,277704,2777040
153,e,[68651 66517  1528],648518346349537989,274604,274604,2746040
247,e,[72687 74366   735],648518346349538001,290748,290748,2907480
209,e,[76080 45938  2156],648518346349538312,304320,304320,3043200
180,e,[67503 43305  1983],648518346349538100,270012,270012,2700120
212,e,[99440 51845  2028],648518346349537897,397760,397760,3977600
205,e,[84556 66629  1427],648518346349538395,338224,338224,3382240
183,e,[85589 73339  2061],648518346349537741,342356,342356,3423560
95,e,[75508 52478  1380],648518346349538209,302032,302032,3020320
338,e,[62856 70644   500],648518346349537851,251424,251424,2514240
6,e,[55393 56047  1495],648518346349538098,221572,221572,2215720
298,e,[116314  58234    933],648518346349537961,465256,465256,4652560
444,e,[70253 54531  1752],648518346349538336,281012,281012,2810120
69,e,[75256 56402   571],648518346349537509,301024,301024,3010240
116,e,[77180 55980   185],648518346349537641,308720,308720,3087200
13,e,[67633 56398  1056],648518346349537516,270532,270532,2705320